id,product_name,price,colour,weight,warehouse_id
1,Direwolf Stannis,$161.11,#7c7c7c,1,WH-4
2,Tarly Stark,$9.24,#919191,2,WH-3
3,duel tourney Lannister,$171.13,#d8d8d8,1.5,WH-2
4,warden south duel,$71.89,#111111,3,WH-1
5,skywalker ewok,$171.22,#dbdbdb,3.2,WH-0
6,dooku solo,$136.60,#c4c4c4,0.8,WH--1
7,north of Casterly,$63.33,#b7b7b7,0.6,WH--2
8,Winterfell,$32.37,#383838,1.4,WH--3
9,Winterfell,$76.40,#b5b5b5,1.2,WH--4
10,Karstark Dorne,$119.52,#f4f4f4,2.4,WH--5
11,Karstark Dorne,$49.70,#141414,2.7,WH--6
12,duel Direwolf,$181.60,#a8a8a8,2.1,WH--7
13,palpatine chewbacca,$139.59,#2b2b2b,1,WH--8
14,Direwolf,$147.53,#c4c4c4,2,WH--9
15,Stannis warden,$194.29,#dbdbdb,1.5,WH--10
16,the duel warden,$180.91,#666666,3,WH--11
17,skywalker ewok sith,$91.89,#7c7c7c,3.2,WH--12
18,Karstark warden,$148.91,#c4c4c4,0.8,WH--13
19,dooku solo,$60.33,#3f3f3f,0.6,WH--14
20,warden Karstark,$91.96,#b5b5b5,1.4,WH--15
21,duel Direwolf,$96.90,#e2e2e2,1.2,WH--16
22,chewbacca mustafar,$150.02,#fcfcfc,2.4,WH--17
23,riverlands north,$169.96,#545454,2.7,WH--18
24,south duel tourney,$48.99,#aaaaaa,2.1,WH--19
25,skywalker ewok,$157.53,#2b2b2b,1,WH--20
26,Stark Karstark,$53.01,#898989,2,WH--21
27,Stannis riverlands,$172.93,#7a7a7a,1.5,WH--22
28,chewbacca mustafar,$127.44,#efefef,3,WH--23
29,Tully maester Tarly,$167.20,#111111,3.2,WH--24
30,Karstark warden,$79.53,#606060,0.8,WH--25
31,Lannister,$85.02,#3f3f3f,0.6,WH--26
32,north,$178.28,#0f0f0f,1.4,WH--27
33,duel warden,$127.09,#191919,1.2,WH--28
34,of north,$128.48,#919191,2.4,WH--29
35,the giantsblood maester,$107.17,#8c8c8c,2.7,WH--30
36,Lannister,$96.22,#a5a5a5,2.1,WH--31
